CityKey,WWICityID,City,StateProvince,Country,Continent,SalesTerritory,Region,Subregion,Location,LatestRecordedPopulation,ValidFrom,ValidTo,LineageKey
95786,2077,Bastrop,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-91.910858693 32.7796027439),11365,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95787,2084,Batchelor,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-91.6615053 30.8404606),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95788,2110,Baton Rouge,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-91.154551 30.4507462),229493,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95789,2130,Bawcomville,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-92.1673582 32.4704237),3588,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95790,2174,Bayou Blue,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-90.6731553 29.6340756),12352,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95791,2175,Bayou Cane,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-90.7512023 29.624102),19355,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95792,2176,Bayou Chicot,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-92.3509638 30.8171393),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95904,7984,Creston,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-93.049884 31.9759941),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95905,8105,Crowley,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-92.3745761 30.2140928),13265,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95906,8111,Crown Point,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-90.0853506 29.7721537),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95907,8182,Cullen,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-93.4507281 32.9690262),1163,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95908,8280,Cut Off,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-90.3381361 29.5427168),5976,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95909,8313,Cypress,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-93.0387735 31.605446),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95910,8358,Dalcour,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-89.9986813 29.8074302),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95911,8458,Danville,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-92.8479337 32.2290458),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95912,8498,Darlington,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-90.7814888 30.8779587),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95913,8507,Darnell,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-91.4531724 32.6776352),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95914,8526,Davant,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-89.8484005 29.6085472),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95915,8729,Deer Range,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-89.8961797 29.6091029),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95916,8795,Delcambre,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-91.9887328 29.948261),1866,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95917,8807,Delhi,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-91.4931736 32.4576421),2919,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95918,8843,Delta,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-90.9270496 32.3257022),284,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95919,8872,Denham Springs,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-90.9562125 30.4868564),10215,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95920,8929,DeQuincy,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-93.4332189 30.4504779),3235,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95921,8940,DeRidder,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-93.2890528 30.8463055),10578,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95922,8947,Derry,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-92.9476592 31.5340592),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95923,8952,Des Allemands,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-90.4750838 29.8238196),2505,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95924,8976,Destrehan,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-90.3517469 29.9429828),11535,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95925,8991,Deville,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-92.1654076 31.3574037),1764,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95926,9043,Diamond,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-89.7620103 29.5354938),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95927,9145,Dixie Inn,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-93.3385032 32.5951503),273,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95928,9183,Dodson,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-92.660428 32.0804373),337,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95929,9220,Donaldsonville,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-90.9928773 30.1010323),7436,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95930,9237,Donner,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-90.9442629 29.6957647),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95931,9363,Downsville,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-92.4143096 32.6268108),141,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95932,9377,Doyline,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-93.4110049 32.5357073),818,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95933,9428,Dry Creek,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-93.0454332 30.6690861),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95934,9431,Dry Prong,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-92.5329202 31.5812854),436,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95935,9449,Dubach,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-92.6568169 32.6990352),961,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95936,9450,Dubberly,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-93.2423896 32.5368192),273,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95937,9491,Dulac,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-90.7139785 29.3888318),1463,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95938,9510,Dunbarton,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-91.6587352 31.7268325),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95939,9574,Dunn,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-91.5784536 32.4643088),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
95940,9599,Dupont,Louisiana,United States,North America,Southeast,Americas,Northern America,POINT (-91.9478969 30.9293557),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
96089,2446,Bella Villa,Missouri,United States,North America,Plains,Americas,Northern America,POINT (-90.2801146 38.5411637),729,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
96090,2456,Belle,Missouri,United States,North America,Plains,Americas,Northern America,POINT (-91.720442 38.2858788),1545,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
96091,2487,Bellefontaine Neighbors,Missouri,United States,North America,Plains,Americas,Northern America,POINT (-90.2265001 38.7403281),10860,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
96092,2496,Bellerive,Missouri,United States,North America,Plains,Americas,Northern America,POINT (-90.3140032 38.71144),188,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
96093,2501,Belleview,Missouri,United States,North America,Plains,Americas,Northern America,POINT (-90.7404036 37.6875489),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
96094,2525,Bellflower,Missouri,United States,North America,Plains,Americas,Northern America,POINT (-91.3551564 39.0067081),393,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
96095,2575,Bel-Nor,Missouri,United States,North America,Plains,Americas,Northern America,POINT (-90.3167811 38.7019956),1499,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
96096,2581,Bel-Ridge,Missouri,United States,North America,Plains,Americas,Northern America,POINT (-90.3253924 38.7094956),2737,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
96097,2585,Belton,Missouri,United States,North America,Plains,Americas,Northern America,POINT (-94.5318982 38.8119527),23116,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
