CityKey,WWICityID,City,StateProvince,Country,Continent,SalesTerritory,Region,Subregion,Location,LatestRecordedPopulation,ValidFrom,ValidTo,LineageKey
51810,8992,Devils Lake,North Dakota,United States,North America,Plains,Americas,Northern America,POINT (-98.8585016453 48.1144671057),7141,2013-01-01T00:02:00.000Z,9999-12-31T23:59:59.999Z,1
51811,9068,Dickey,North Dakota,United States,North America,Plains,Americas,Northern America,POINT (-98.4678716 46.5369203),42,2013-01-01T00:02:00.000Z,9999-12-31T23:59:59.999Z,1
51812,9070,Dickinson,North Dakota,United States,North America,Plains,Americas,Northern America,POINT (-102.7896242 46.8791756),17787,2013-01-01T00:02:00.000Z,9999-12-31T23:59:59.999Z,1
51813,9175,Dodge,North Dakota,United States,North America,Plains,Americas,Northern America,POINT (-102.2043423 47.30612),87,2013-01-01T00:02:00.000Z,9999-12-31T23:59:59.999Z,1
51814,9238,Donnybrook,North Dakota,United States,North America,Plains,Americas,Northern America,POINT (-101.8851618 48.509465),59,2013-01-01T00:02:00.000Z,9999-12-31T23:59:59.999Z,1
51815,9263,Dore,North Dakota,United States,North America,Plains,Americas,Northern America,POINT (-104.0310439 47.920575),0,2013-01-01T00:02:00.000Z,9999-12-31T23:59:59.999Z,1
51816,9306,Douglas,North Dakota,United States,North America,Plains,Americas,Northern America,POINT (-101.5029412 47.8572261),64,2013-01-01T00:02:00.000Z,9999-12-31T23:59:59.999Z,1
51817,9382,Drake,North Dakota,United States,North America,Plains,Americas,Northern America,POINT (-100.3723605 47.9241692),275,2013-01-01T00:02:00.000Z,9999-12-31T23:59:59.999Z,1
51818,9395,Drayton,North Dakota,United States,North America,Plains,Americas,Northern America,POINT (-97.1778485 48.5710958),824,2013-01-01T00:02:00.000Z,9999-12-31T23:59:59.999Z,1
51819,9420,Driscoll,North Dakota,United States,North America,Plains,Americas,Northern America,POINT (-100.1414961 46.8441533),82,2013-01-01T00:02:00.000Z,9999-12-31T23:59:59.999Z,1
